Location,Price,İlan Tarihi,İlan no,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Krediye Uygun,Isıtma Tipi,Bina Yaşı,"Görüntülü Ev Gezintisi
?",Mobilya Durumu,Kullanım Durumu,Yapının Durumu,Depozito,Aidat,Kimden,Konut Şekli,Hayvan Dostu Patili Evler,Tapu Durumu,m²,Bölüm/Oda Sayısı,Kapalı Alan,Yapı Tipi,Dış Cephe,Zemin Etüdlü,Ada,Parsel,Otopark,Devren,Tavan Yüksekliği,Arsa Alanı,Takasa Uygun,Kat Yüksekliği,Yıldız Sayısı,Kapasite,Kiralama Süresi,İmar Durumu,Parselli
"Zafer, Bahçelievler
, İstanbul",12.500 TL,21 Haziran 2024,5058063,,,,,5,,Hayır,Yok,26-30 arası,,,Boş,İkinci El,12.500 TL undefined,,Danışman,,,,150m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eğitim, Kadıköy
, İstanbul",45.000 TL,21 Haziran 2024,5074460,95,115m²,3+1,1,6,1,Hayır,Kombi (Doğalgaz),,,,Boş,,,,Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Menderes, Esenler
, İstanbul",5.000 TL,22 Haziran 2024,5075399,35,40m²,1+0 (Stüdyo),1,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zümrütevler, Maltepe
, İstanbul",26.790 TL,21 Haziran 2024,5074585,55,66m²,1+1,1,20 ve üzeri,6,Hayır,Kombi (Doğalgaz),0,,,Boş,İkinci El,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Göktürk Merkez, Eyüpsultan
, İstanbul",195.000 TL,20 Haziran 2024,5070488,285,350m²,4+1,4,4,Bahçe katı,Hayır,Kombi (Doğalgaz),16-20 arası,,Eşyalı (Mobilyalı),Kiracılı,İkinci El,390.000 TL undefined,0 TL (aylık),Danışman,Bahçe Dubleksi,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barış, Beylikdüzü
, İstanbul",350.000 TL,21 Haziran 2024,4960572,,,,,3,,Hayır,Fancoil,6-10 arası,,,Boş,İkinci El,700.000 TL undefined,,Danışman,,,İskanı Alınmış,1800m²,,1500 (m²),Betonarme,Cam Giydirme,Hayır,,,,,,,,,,,,,
"Bahçelievler, Bahçelievler
, İstanbul",35.000 TL,20 Haziran 2024,5072357,140,145m²,4+1,2,5,2,Hayır,Kombi (Doğalgaz),26-30 arası,,Eşyasız,Boş,İkinci El,,200 TL (aylık),Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Bağlar, Bağcılar
, İstanbul",18.500 TL,20 Haziran 2024,5085976,180,,,,3,Giriş Katı,Hayır,Yok,6-10 arası,,,Boş,,0 TL,0 TL (aylık),,,,,190m²,2,,,,,,,,,,,,,,,,,
"Teşvikiye, Şişli
, İstanbul",120.000 TL,20 Haziran 2024,4633980,90,144m²,2+1,2,20 ve üzeri,10,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,?,Eşyasız,Boş,Sıfır,,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Bağlarbaşı, Maltepe
, İstanbul",1.550.000 TL,20 Haziran 2024,5007371,130,,,,,,Hayır,Kombi (Doğalgaz),31-35 arası,,,Mülk Sahibi,,,,Danışman,,,,140m²,5,,,,,,,,,,,,,,,,,
"Çakıl, Çatalca
, İstanbul",125.000 TL,20 Haziran 2024,4888227,600,3448m²,8+3,3,3,,Hayır,Kombi (Doğalgaz),16-20 arası,?,Eşyalı (Mobilyalı),Mülk Sahibi,İkinci El,190.000 TL,,Danışman,Tripleks,,Müstakil Parsel,,,,,,,,,,,,,Evet,,,,,,
"Atatürk, Ataşehir
, İstanbul",30.000 TL,20 Haziran 2024,5043652,26,47m²,1+0 (Stüdyo),1,20 ve üzeri,12,Hayır,Merkezi Sistem,6-10 arası,,Eşyalı (Mobilyalı),Mülk Sahibi,,70.000 TL,2.691 TL (aylık),Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merdivenköy, Kadıköy
, İstanbul",47.500 TL,20 Haziran 2024,5073796,75,90m²,2+1,1,8,2,Hayır,Kombi (Doğalgaz),6-10 arası,,Sadece Beyaz Eşya,Mülk Sahibi,İkinci El,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Çengelköy, Üsküdar
, İstanbul",75.000 TL,20 Haziran 2024,5073811,118,140m²,2+1,2,3,Zemin Kat,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,0 TL undefined,0 TL (aylık),,Bahçe Katı,,,,,,,,,,,,,,,,,,,,,
"Mimar Sinan, Tuzla
, İstanbul",22.500 TL,20 Haziran 2024,3978371,105,115m²,3+1,1,10-20 arası,11,Hayır,Kombi (Doğalgaz),11-15 arası,?,Eşyasız,Boş,İkinci El,,480 TL (aylık),Danışman,En Üst Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Mimar Sinan, Tuzla
, İstanbul",22.500 TL,20 Haziran 2024,3999237,105,115m²,3+1,1,10-20 arası,11,Hayır,Kombi (Doğalgaz),11-15 arası,?,Eşyasız,Boş,İkinci El,,400 TL (aylık),Danışman,En Üst Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Mehmet Akif Ersoy, Esenyurt
, İstanbul",7.500 TL,20 Haziran 2024,5085955,75,80m²,2+1,1,4,Bahçe katı,Hayır,Kombi (Doğalgaz),5,?,Eşyasız,Boş,İkinci El,10.000 TL undefined,,Danışman,Ara Kat,,,,,,,,,,,,,,,Evet,,,,,,
"Güzeltepe, Eyüpsultan
, İstanbul",27.000 TL,21 Haziran 2024,5074386,105,135m²,3+1,1,5,5,Hayır,Kalorifer (Doğalgaz),26-30 arası,,Eşyasız,Kiracılı,,0 TL undefined,0 TL (aylık),,En Üst Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levent, Beşiktaş
, İstanbul",900.000 TL,20 Haziran 2024,5057584,,,,,20 ve üzeri,Kot 1,Hayır,Merkezi Sistem,16-20 arası,,,Boş,,0 TL undefined,0 TL (aylık),Danışman,,,Kat Mülkiyeti,1250m²,,,,,,,,,,,,,,,,,,
"Güzelyurt, Esenyurt
, İstanbul",13.000 TL,20 Haziran 2024,5085935,85,90m²,1+1,1,3,3,Hayır,Kombi (Doğalgaz),3,?,Eşyalı (Mobilyalı),Boş,İkinci El,26.000 TL undefined,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,Evet,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kocatepe, Bayrampaşa
, İstanbul",55.000 TL,20 Haziran 2024,5074001,150,,,,5,Giriş Katı,Hayır,Kombi (Doğalgaz),16-20 arası,,,Boş,,0 TL undefined,0 TL (aylık),,,,,250m²,5,,,,,,,,,,,,,,,,,
"İstinye, Sarıyer
, İstanbul",330.000 TL,20 Haziran 2024,5043711,350,385m²,4+1,4,3,3,Hayır,Merkezi Sistem,5,,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Ferah, Üsküdar
, İstanbul",13.000 TL,20 Haziran 2024,5085892,72,80m²,2+1,1,4,Kot 2,Hayır,Kombi (Doğalgaz),16-20 arası,,Eşyasız,Boş,İkinci El,13.000 TL undefined,100 TL (aylık),Danışman,,,Arsa Tapulu,,,,,,,,,,,,,,,,,,,
"Levent, Beşiktaş
, İstanbul",750.000 TL,21 Haziran 2024,5004377,,,,,,Bahçe katı,Hayır,,,,,,,,106.000 TL (aylık),Danışman,,,,1250m²,10,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alibey, Silivri
, İstanbul",16.200 TL,21 Haziran 2024,5044534,130,160m²,4+1,1,4,3,Hayır,Kombi (Doğalgaz),16-20 arası,,Eşyalı (Mobilyalı),Boş,,0 TL,180 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",150.000 TL,21 Haziran 2024,5025528,280,350m²,4+2,3,4,,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyasız,,İkinci El,300.000 TL undefined,12.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Ayazağa, Sarıyer
, İstanbul",40.000 TL,21 Haziran 2024,5025525,250,260m²,5+2,3,10,9,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyasız,,İkinci El,80.000 TL undefined,650 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Oruçreis, Esenler
, İstanbul",10.000 TL,22 Haziran 2024,5074965,85,90m²,2+1,1,4,Giriş Katı,Hayır,Soba (Doğalgaz),26-30 arası,,Eşyasız,Boş,İkinci El,,80 TL (aylık),Danışman,Giriş Kat,Evet,,,,,,,,,,,,,,,,,,,,
"Akat, Beşiktaş
, İstanbul",45.000 TL,20 Haziran 2024,5085919,110,145m²,3+1,1,4,4,Hayır,Merkezi Sistem (Isı Payı Ölçer),31-35 arası,,Eşyasız,Boş,İkinci El,90.000 TL undefined,250 TL (aylık),Danışman,En Üst Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zafer, Esenyurt
, İstanbul",15.000 TL,20 Haziran 2024,5085854,90,100m²,2+1,1,5,2,Hayır,Combi Boiler (Natural Gas),Between 6-10,?,Unfurnished,Vacant,Second Hand,,,Agent,Intermediate Floor,,Condominium,,,,,,,,,,,,,,,,,,,
"Soğuksu, Beykoz
, İstanbul",13.000 TL,21 Haziran 2024,5039387,90,100m²,3+1,1,2,1,Hayır,Kombi (Doğalgaz),16-20 arası,,Eşyasız,Boş,İkinci El,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",35.000 TL,21 Haziran 2024,5036074,130,145m²,2+1,1,4,Bahçe katı,Hayır,Kombi (Doğalgaz),21-25 arası,,Eşyalı (Mobilyalı),Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Vişnezade, Beşiktaş
, İstanbul",170.000 TL,22 Haziran 2024,5032694,204,215m²,2+1,2,10-20 arası,2,Hayır,,6-10 arası,,Eşyasız,Boş,,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Sultaniye, Esenyurt
, İstanbul",10.000 TL,20 Haziran 2024,5021961,55,65m²,1+1,1,20 ve üzeri,20 ve üzeri,Hayır,Merkezi Sistem,5,?,,Boş,,,,,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yavuz Selim, Bağcılar
, İstanbul",8.000 TL,20 Haziran 2024,5005605,25,,,,,Giriş Katı,Hayır,Yok,21-25 arası,,,,,0 TL,0 TL (aylık),Danışman,,,,30m²,2,,,,,,,,,,,,,,,,,
"Çeliktepe, Kağıthane
, İstanbul",29.000 TL,20 Haziran 2024,5085899,75,90m²,2+1,1,10-20 arası,9,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,,Sadece Beyaz Eşya,Boş,Sıfır,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Çakıl, Çatalca
, İstanbul",125.000 TL,20 Haziran 2024,4888239,600,3448m²,8+3,3,3,,Hayır,Kombi (Doğalgaz),16-20 arası,,Eşyalı (Mobilyalı),,İkinci El,190.000 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Salacak, Üsküdar
, İstanbul",190.000 TL,20 Haziran 2024,5007662,300,360m²,3+1,2,3,,Hayır,,36-40 arası,,,Boş,İkinci El,380.000 TL undefined,,Danışman,,,,,,,Betonarme,,,,,,,,,,,,,,,
"Ulus, Beşiktaş
, İstanbul",85.000 TL,20 Haziran 2024,5043727,150,180m²,3+1,3,5,3,Hayır,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,,,,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tarabya, Sarıyer
, İstanbul",40.000 TL,20 Haziran 2024,5043717,110,132m²,3+1,2,3,Bahçe katı,Hayır,Kombi (Doğalgaz),40 ve üzeri,,,,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Ulus, Beşiktaş
, İstanbul",100.000 TL,20 Haziran 2024,5043725,150,180m²,3+1,3,5,3,Hayır,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Cihangir, Beyoğlu
, İstanbul",35.000 TL,20 Haziran 2024,5043715,66,80m²,1+1,1,5,1,Hayır,Kombi (Doğalgaz),31-35 arası,,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Küçük Çamlıca, Üsküdar
, İstanbul",250.000 TL,20 Haziran 2024,5044134,450,500m²,8+2,5,4,Müstakil,Hayır,Kombi (Doğalgaz),11-15 arası,?,Eşyasız,Boş,İkinci El,500.000 TL,,Danışman,Fourlex,,Arsa Tapulu,,,,,,,,,,,,,,,,,,,
"Poligon, Sarıyer
, İstanbul",80.000 TL,20 Haziran 2024,5073803,200,250m²,3+1,2,5,1,Hayır,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,?,Eşyalı (Mobilyalı),Boş,İkinci El,,,Danışman,Ara Kat,Evet,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sururi Mehmet Efendi, Beyoğlu
, İstanbul",26.900 TL,20 Haziran 2024,5073804,70,80m²,1+1,1,4,Kot 1,Hayır,Kombi (Doğalgaz),40 ve üzeri,,Eşyalı (Mobilyalı),Boş,İkinci El,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Mustafa Kemal Paşa, Avcılar
, İstanbul",24.000 TL,20 Haziran 2024,5074026,160,180m²,3+2,1,4,En Üst Kat,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyasız,Boş,İkinci El,24.000 TL,200 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marmara, Beylikdüzü
, İstanbul",10.000 TL,21 Haziran 2024,5074488,,,,,4,,Hayır,Kombi (Doğalgaz),16-20 arası,,,Boş,İkinci El,20.000 TL undefined,,Danışman,,,Kat İrtifakı,150m²,,150 (m²),,,,,,,,,,,,,,,,
"Kavaklı, Beylikdüzü
, İstanbul",8.500 TL,20 Haziran 2024,5085957,85,90m²,2+1,1,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Şahintepe, Başakşehir
, İstanbul",135.000 TL,20 Haziran 2024,4959329,,,,,4,,Hayır,Klima,2,,,Boş,Sıfır,240.000 TL,,Danışman,,,Kat Mülkiyeti,1060m²,,,,,Evet,,,,,,,,,,,,,
"Mecidiye, Beşiktaş
, İstanbul",40.000 TL,20 Haziran 2024,5073692,110,120m²,2+1,1,5,2,Hayır,Merkezi Sistem,26-30 arası,?,Eşyalı (Mobilyalı),Boş,İkinci El,,,Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Kavaklı, Beylikdüzü
, İstanbul",60.000 TL,20 Haziran 2024,5074002,240,,,,6,Giriş Katı,Hayır,Kombi (Doğalgaz),6-10 arası,,,Boş,,0 TL,0 TL (aylık),,,,,250m²,2,,,,,,,,,,,,,,,,,
"Yakacık Çarşı, Kartal
, İstanbul",45.000 TL,20 Haziran 2024,5044298,,,,,7,,Hayır,Klima,16-20 arası,,,Boş,İkinci El,,,Danışman,,,Kat Mülkiyeti,250m²,,250 (m²),,,Evet,,,,,4 (metre),250 (m²),,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taşoluk, Arnavutköy
, İstanbul",15.000 TL,22 Haziran 2024,5075295,,,,,3,Giriş Katı,Hayır,Soba (Kömür),16-20 arası,,,Boş,,,,Danışman,,,Kat İrtifakı,75m²,1,,,,,,,,,,,,,,,,,
"Harbiye, Şişli
, İstanbul",165.000 TL,20 Haziran 2024,4959695,,,,,,2,Hayır,Merkezi Sistem,31-35 arası,,,,,0 TL,0 TL (aylık),,,,,250m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mecidiye, Beşiktaş
, İstanbul",70.000 TL,19 Haziran 2024,5056935,170,196m²,4+1,2,4,2,Hayır,Yerden Isıtma,2,?,Eşyasız,Boş,Sıfır,,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merkez, Şişli
, İstanbul",95.000 TL,19 Haziran 2024,5033345,90,136m²,2+1,2,20 ve üzeri,20 ve üzeri,Hayır,Merkezi Sistem (Isı Payı Ölçer),1,,Eşyalı (Mobilyalı),Boş,İkinci El,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Cumhuriyet, Şişli
, İstanbul",45.000 TL,19 Haziran 2024,5033316,75,90m²,2+1,1,5,,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyasız,Boş,İkinci El,45.000 TL undefined,4.900 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Acarlar, Beykoz
, İstanbul",540.000 TL,19 Haziran 2024,4985289,850,950m²,7+1,6 ve üzeri,4,Müstakil,Hayır,Yerden Isıtma,,?,Eşyasız,Boş,İkinci El,,,Danışman,Fourlex,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maslak, Sarıyer
, İstanbul",425.000 TL,19 Haziran 2024,5042284,,,,,,Giriş Katı,Hayır,Merkezi Sistem,4,,,Boş,,0 TL,0 TL (aylık),,,,Kat Mülkiyeti,950m²,6,,,,,,,,,,,,,,,,,
"Maslak, Sarıyer
, İstanbul",250.000 TL,19 Haziran 2024,5042292,,,,,,Giriş Katı,Hayır,Merkezi Sistem,6-10 arası,,,Boş,,0 TL,0 TL (aylık),,,,Kat Mülkiyeti,960m²,4,,,,,,,,,,,,,,,,,
"Pınar, Sarıyer
, İstanbul",335.000 TL,19 Haziran 2024,5042272,320,400m²,6+1,5,5,2,Hayır,Combi Boiler (Natural Gas),Between 11-15,,Furnished,Vacant,Second Hand,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"İzzet Paşa, Şişli
, İstanbul",60.000 TL,19 Haziran 2024,5042309,,,,,20 ve üzeri,20 ve üzeri,Hayır,Kombi (Elektrikli),5,,,Boş,,0 TL undefined,0 TL (aylık),,,,Kat Mülkiyeti,94m²,2,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reşitpaşa, Sarıyer
, İstanbul",480.000 TL,19 Haziran 2024,5042268,,,,,,2,Hayır,Merkezi Sistem,,,,,,0 TL,0 TL (aylık),,,,Kat Mülkiyeti,1290m²,,,,,,,,,,,,,,,,,,
"Zeynep Kamil, Üsküdar
, İstanbul",25.000 TL,19 Haziran 2024,5057089,75,80m²,2+1,1,4,2,Hayır,Kombi (Doğalgaz),26-30 arası,?,Eşyasız,Boş,İkinci El,,100 TL (aylık),Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Mevlana, Sancaktepe
, İstanbul",12.500 TL,19 Haziran 2024,5033978,130,140m²,2+1,1,4,Yüksek Giriş,Hayır,Kombi (Doğalgaz),4,,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Güneştepe, Güngören
, İstanbul",13.000 TL,20 Haziran 2024,5044273,65,,,,5,Giriş Katı,Hayır,Yok,21-25 arası,,,Boş,,0 TL,0 TL (aylık),,,,,70m²,2,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piri Reis, Esenyurt
, İstanbul",14.000 TL,20 Haziran 2024,5073666,120,140m²,2+1,1,10,2,Hayır,Merkezi Sistem,6-10 arası,,Eşyasız,Kiracılı,,14.000 TL undefined,1.500 TL (aylık),,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barbaros, Ataşehir
, İstanbul",64.000 TL,19 Haziran 2024,5006898,,,,,,,Hayır,Merkezi Sistem,6-10 arası,,,,,0 TL undefined,0 TL (aylık),,,,,58m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Halaskargazi, Şişli
, İstanbul",315.000 TL,19 Haziran 2024,5042288,,,,,7,7,Hayır,Merkezi Sistem,1,,,Boş,,0 TL,0 TL (aylık),,,,,670m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harbiye, Şişli
, İstanbul",880.000 TL,19 Haziran 2024,5042257,,,,,,2,Hayır,Merkezi Sistem,,,,Boş,,0 TL undefined,0 TL (aylık),,,,,2000m²,,,,,,,,,,,,,,,,,,
"Levent, Beşiktaş
, İstanbul",300.000 TL,19 Haziran 2024,5006679,275,,,,2,Müstakil,Hayır,Kombi (Doğalgaz),,,,Boş,,0 TL,0 TL (aylık),Danışman,,,Kat Mülkiyeti,285m²,6,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maslak, Sarıyer
, İstanbul",180.000 TL,19 Haziran 2024,5042315,,,,,,5,Hayır,Merkezi Sistem,,,,Boş,,0 TL undefined,0 TL (aylık),,,,Kat Mülkiyeti,500m²,7,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maslak, Sarıyer
, İstanbul",280.000 TL,19 Haziran 2024,5042253,,,,,,20 ve üzeri,Hayır,,21-25 arası,,,,,0 TL undefined,0 TL (aylık),,,,Kat Mülkiyeti,390m²,,,,,,,,,,,,,,,,,,
"Maslak, Sarıyer
, İstanbul",500.000 TL,19 Haziran 2024,5042329,,,,,20 ve üzeri,5,Hayır,,,,,Boş,,0 TL undefined,0 TL (aylık),,,,Kat Mülkiyeti,400m²,4,,,,,,,,,,,,,,,,,
"Fulya, Şişli
, İstanbul",375.000 TL,19 Haziran 2024,5042331,,,,,,3,Hayır,Merkezi Sistem,,,,Boş,,0 TL undefined,0 TL (aylık),,,,Kat Mülkiyeti,380m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vişnezade, Beşiktaş
, İstanbul",240.000 TL,20 Haziran 2024,4791045,300,435m²,5+1,3,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumhuriyet, Şişli
, İstanbul",32.000 TL,19 Haziran 2024,5033296,55,75m²,1+1,1,10-20 arası,8,Hayır,Merkezi Sistem (Isı Payı Ölçer),11-15 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Siyavuşpaşa, Bahçelievler
, İstanbul",15.000 TL,19 Haziran 2024,5056171,70,,,,5,Giriş Katı,Hayır,Yok,31-35 arası,,,Boş,,,,Danışman,,,Kat Mülkiyeti,75m²,1,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumhuriyet, Şişli
, İstanbul",40.000 TL,19 Haziran 2024,5033339,60,74m²,1+1,1,10-20 arası,10,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,80.000 TL,3.600 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Cumhuriyet, Şişli
, İstanbul",30.000 TL,19 Haziran 2024,5033350,35,50m²,1+1,1,10-20 arası,,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyasız,Boş,İkinci El,60.000 TL undefined,5.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Cumhuriyet, Şişli
, İstanbul",35.000 TL,19 Haziran 2024,5033343,60,74m²,1+1,1,10-20 arası,10,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyalı (Mobilyalı),,İkinci El,70.000 TL undefined,3.600 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19 Mayıs, Şişli
, İstanbul",25.000 TL,19 Haziran 2024,5033323,65,80m²,1+1,1,5,,Hayır,Kombi (Doğalgaz),26-30 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,58.000 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
